new_name,merged_from,population,area_km2,landmarks,specialties,notes
Hồng Bàng,Minh Khai; Hoàng Văn Thụ; Phan Bội Châu; Thượng Lý; Sở Dầu; Hùng Vương; Máy Tơ (một phần),113200,12.11,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hồng An,Quán Toan; An Hồng; An Hưng; Đại Bản; Lê Thiện; Tân Tiến,64771,27.64,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Ngô Quyền,Máy Chai; Gia Viên; Vạn Mỹ; Cầu Tre,88595,5.81,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Gia Viên,Cầu Đất; Đông Khê; Đằng Giang; Lạch Tray ,102246,5.01,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Lê Chân,Hàng Kênh; Dư Hàng Kênh; Kênh Dương; An Biên (một phần); Trần Nguyên Hãn (một phần); An Dương; Vĩnh Niệm,161051,5.65,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hải An,Đằng Hải; Đằng Lâm; Cát Bi; Thành Tô; Tràng Cát; Đông Hải 2 (một phần); Nam Hải,102648,39.99,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Đông Hải,Đông Hải 1; Đông Hải 2 (một phần còn lại); Nam Hải (một phần còn lại),50748,57.65,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kiến An,Đồng Hòa; Bắc Sơn; Trần Thành Ngọ (một phần); Nam Sơn (một phần); Văn Đẩu (một phần),67236,11.18,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Phù Liễn, Bắc Hà; Ngọc Sơn; Trần Thành Ngọ (một phần); Nam Sơn (một phần); Văn Đẩu (một phần); thị trấn Trường Sơn (một phần),60733,18.46,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hưng Đạo, Anh Dũng; Hưng Đạo; Đa Phúc,37859,18.64,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Dương Kinh,Hải Thành; Tân Thành; Hòa Nghĩa,27339,27.96,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Đồ Sơn,Ngọc Xuyên; Hải Sơn; Vạn Hương,36494,25.54,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Nam Đồ Sơn,Bàng La; Hợp Đức; Minh Đức,30372,21.0,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Dương,Nam Sơn; An Hải (một phần); Lê Lợi (một phần); Tân Tiến (một phần); An Hưng (một phần),76879,31.23,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Hải,An Đồng; Đồng Thái; Hồng Thái; An Hải (một phần),77086,19.96,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Phong,An Hòa; Hồng Phong; Lê Thiện (một phần); Lê Lợi (một phần); Tân Tiến (một phần); Đại Bản (một phần),44660,27.92,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thủy Nguyên,Dương Quan; Thủy Đường; Hoa Động (một phần);  An Lư (một phần); Thủy Hà (một phần),71731,45.34,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thiên Hương,Thiên Hương; Hoàng Lâm; Lê Hồng Phong (một phần); Hoa Động (một phần),45140,21.1,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hòa Bình,Hòa Bình; An Lư (một phần); Thủy Hà (một phần),47168,19.47,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nam Triệu,Tam Hưng; Nam Triệu Giang; Lập Lễ,40224,29.51,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Bạch Đằng,Minh Đức; Phạm Ngũ Lão; Bạch Đằng,51633,53.49,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Lưu Kiếm,Lưu Kiến; Trần Hưng Đạo; Liên Xuân (một phần); Quang Trung (một phần),49376,42.17,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Lê Ích Mộc,Quảng Thanh; Quang Trung (một phần); Lê Hồng Phong (một phần),51853,27.04,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Việt Khê,Ninh Sơn; Liên Xuân,37936,30.98,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kiến Thụy,Hữu Bằng; Thuận Thiên; Thanh Sơn; Núi Đối; Kiến Hưng (một phần),37020,20.18,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kiến Minh,Đại Đồng; Đông Phương; Minh Tân,26181,16.32,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kiến Hải,Đại Hợp; Tú Sơn; Tân Phong; Đoàn Xá (một phần),44862,31.86,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kiến Hưng,Tân Trào; Đoàn Xá (một phần); Kiến Hưng (một phần),28044,21.02,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
